ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id,MRR,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,converted_within30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.04901694373401534,0.26664196708702853,8,37,1
0.004503236701379116,0.0,0.055324211778703156,0.0,0.13157894736842105,0.0,0.1020408163265306,0.0,35,0.639386189258312,1.0,8,37,1
0.004878506426494043,0.0,0.03866745984533016,0.0,0.07894736842105263,0.0,0.08163265306122448,0.0,151,0.8823529411764706,0.13658942576603872,2,37,1
0.004690871563936579,0.0,0.005353955978584176,0.0,0.05263157894736842,0.0,0.04081632653061224,0.0,22,0.3069053708439898,0.2082310880164831,6,36,1
0.00028145229383619476,0.0007955449482895784,0.001189767995240928,0.0,0.02631578947368421,0.02,0.02040816326530612,0.0,160,0.054803388746803065,1.0,8,37,1
0.00591049817056009,0.13206046141607,0.05591909577632362,0.014134275618374558,0.05263157894736842,0.06,0.061224489795918366,0.08333333333333333,27,0.159846547314578,0.02975892897620243,8,37,1
9.381743127873159e-05,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,101,0.2823529411764706,1.0,8,37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,0.24127237851662403,0.3672584248233902,8,37,1
0.0018763486255746317,0.008750994431185363,0.03331350386674599,0.0,0.07894736842105263,0.06,0.1020408163265306,0.0,8,0.319693094629156,0.20693076457705098,3,19,1
0.0016887137630171687,0.0015910898965791568,0.032123735871505056,0.0,0.15789473684210525,0.04,0.14285714285714285,0.0,8,0.319693094629156,0.20693076457705098,3,19,1
0.001313444037902242,0.0,0.005353955978584176,0.0,0.07894736842105263,0.0,0.04081632653061224,0.0,151,0.8823529411764706,0.13658942576603872,2,37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,0.24127237851662403,0.3672584248233902,8,37,1
0.0,0.0015910898965791568,0.0,0.0,0.0,0.02,0.0,0.0,185,0.1998081841432225,0.401340843256155,3,37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,0.0399616368286445,1.0,8,37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0.319693094629156,0.26257497807521496,5,37,1
0.0008443568815085843,0.0,0.001784651992861392,0.0,0.05263157894736842,0.0,0.02040816326530612,0.0,22,0.3069053708439898,0.2082310880164831,6,36,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.04901694373401534,0.26664196708702853,8,37,1
0.01003846514682428,0.24025457438345268,0.025580011897679954,0.007067137809187279,0.05263157894736842,0.08,0.061224489795918366,0.08333333333333333,27,0.159846547314578,0.02975892897620243,8,37,1
0.002251618350689558,0.0,0.016061867935752528,0.0,0.07894736842105263,0.0,0.061224489795918366,0.0,35,0.639386189258312,1.0,8,37,1
0.003189792663476874,0.09466984884645983,0.03271861986912552,0.0,0.21052631578947367,0.38,0.16326530612244897,0.0,132,0.5480418797953964,0.07006038890895079,6,37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.04901694373401534,0.26664196708702853,8,37,0
0.0008443568815085843,0.0,0.000594883997620464,0.0,0.05263157894736842,0.0,0.02040816326530612,0.0,185,0.1998081841432225,0.401340843256155,3,37,0
0.0009381743127873159,0.0,0.0029744199881023203,0.0,0.05263157894736842,0.0,0.04081632653061224,0.0,22,0.3069053708439898,0.2082310880164831,6,36,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,0.8823529411764706,0.13658942576603872,2,37,1
0.012946805516464958,0.20922832140015912,0.001189767995240928,0.0035335689045936395,0.07894736842105263,0.06,0.04081632653061224,0.08333333333333333,27,0.159846547314578,0.02975892897620243,8,37,1
0.014354066985645933,0.05568814638027049,0.08685306365258776,0.0,0.10526315789473684,0.1,0.1020408163265306,0.0,67,0.2237851662404092,0.15164134959753756,6,34,1
9.381743127873159e-05,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,188,0.0399616368286445,1.0,8,37,1
0.00037526972511492634,0.0,0.010707911957168352,0.0,0.02631578947368421,0.0,0.061224489795918366,0.0,35,0.639386189258312,1.0,8,37,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0.319693094629156,0.26257497807521496,5,37,1
0.0017825311942959,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,14,0.25683343989769825,1.0,3,37,1
0.0025330706445257528,0.01988862370723946,0.032123735871505056,0.0035335689045936395,0.05263157894736842,0.08,0.14285714285714285,0.08333333333333333,8,0.319693094629156,0.20693076457705098,3,19,1
0.00037526972511492634,0.0007955449482895784,0.04818560380725759,0.014134275618374558,0.02631578947368421,0.02,0.061224489795918366,0.08333333333333333,196,0.04194373401534526,0.03626285980487332,8,37,1
9.381743127873159e-05,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,190,0.04901694373401534,0.26664196708702853,8,37,0
0.0007505394502298527,0.0,0.00892325996430696,0.0,0.02631578947368421,0.0,0.061224489795918366,0.0,35,0.639386189258312,1.0,8,37,0
0.06098133033117553,0.021479713603818618,0.27483640690065436,0.0035335689045936395,0.05263157894736842,0.02,0.04081632653061224,0.08333333333333333,76,0.239769820971867,0.22739158369640156,7,5,1
0.00037526972511492634,0.0007955449482895784,0.0,0.0,0.02631578947368421,0.02,0.0,0.0,185,0.1998081841432225,0.401340843256155,3,37,0
0.0025330706445257528,0.0,0.002379535990481856,0.0,0.02631578947368421,0.0,0.02040816326530612,0.0,22,0.3069053708439898,0.2082310880164831,6,36,1
0.00037526972511492634,0.0015910898965791568,0.001189767995240928,0.0,0.02631578947368421,0.02,0.02040816326530612,0.0,101,0.2823529411764706,1.0,8,37,1
0.001125809175344779,0.10898965791567224,0.001189767995240928,0.0,0.05263157894736842,0.06,0.02040816326530612,0.0,27,0.159846547314578,0.02975892897620243,8,37,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,0.3516624040920716,0.37326986479325047,7,5,1
0.00037526972511492634,0.0,0.001189767995240928,0.0,0.02631578947368421,0.0,0.02040816326530612,0.0,151,0.8823529411764706,0.13658942576603872,2,37,1
0.014447884416924664,0.04136833731105807,0.08209399167162404,0.0,0.10526315789473684,0.1,0.12244897959183673,0.0,67,0.2237851662404092,0.15164134959753756,6,34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.3037084398976982,0.4140161672818113,5,37,1
0.00037526972511492634,0.006364359586316627,0.011897679952409281,0.0,0.02631578947368421,0.06,0.04081632653061224,0.0,63,0.2237851662404092,0.1946047363788853,3,5,1
0.016887137630171686,0.012728719172633254,0.009518143961927425,0.0,0.07894736842105263,0.08,0.08163265306122448,0.0,67,0.2237851662404092,0.15164134959753756,6,34,1
0.002720705507083216,0.003977724741447892,0.0,0.0,0.02631578947368421,0.02,0.0,0.0,112,0.29971227621483376,0.167775615261839,7,31,1
0.0040341495449854586,0.17422434367541767,0.007138607971445568,0.007067137809187279,0.05263157894736842,0.06,0.04081632653061224,0.08333333333333333,27,0.159846547314578,0.02975892897620243,8,37,0
0.000656722018951121,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,14,0.25683343989769825,1.0,3,37,1
0.004503236701379116,0.1280827366746221,0.039857227840571094,0.0,0.13157894736842105,0.08,0.22448979591836732,0.0,8,0.319693094629156,0.20693076457705098,3,19,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,0.8823529411764706,0.13658942576603872,2,37,0
0.0012196266066235107,0.002386634844868735,0.007733491969066033,0.0,0.07894736842105263,0.02,0.02040816326530612,0.0,181,0.43843510230179034,0.13480711660546488,3,9,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,0.24127237851662403,0.3672584248233902,8,37,0
0.006098133033117553,0.0015910898965791568,0.0,0.021201413427561835,0.15789473684210525,0.04,0.0,0.08333333333333333,109,0.9727141943734015,0.128714824593903,3,5,1
0.000656722018951121,0.0,0.0,0.0035335689045936395,0.02631578947368421,0.0,0.0,0.08333333333333333,22,0.3069053708439898,0.2082310880164831,6,36,1
0.022703818369453045,0.0007955449482895784,0.0,0.0035335689045936395,0.02631578947368421,0.02,0.0,0.08333333333333333,76,0.239769820971867,0.22739158369640156,7,5,1
